ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
123033,17,17,17,17,17,17,17,17,17,17
123034,0,0,0,0,0,0,0,0,0,0
123036,0,0,0,0,6,0,0,0,19,0
123038,0,0,0,0,0,0,0,0,0,0
123039,0,0,0,0,0,0,0,0,0,0
123040,27,27,27,27,27,27,27,27,27,27
123041,22,22,22,22,22,22,22,22,22,22
123042,0,8,20,15,7,39,0,0,0,16
123043,0,0,0,0,0,0,0,0,0,0
123044,0,0,0,0,0,0,0,0,0,0
123045,0,17,21,19,11,28,16,7,8,24
123046,30,30,30,30,30,30,30,30,30,30
123048,0,0,0,0,0,0,0,0,0,0
123049,0,22,0,0,0,0,17,0,0,0
123050,0,0,0,0,0,0,0,0,0,0
123051,15,0,0,16,7,20,0,18,13,0
123053,0,0,0,0,0,0,0,0,0,0
123054,0,0,0,0,0,0,0,0,0,0
123055,0,0,0,0,0,0,0,0,0,11
123056,13,13,13,13,13,13,13,13,13,13
123057,0,0,0,0,0,0,0,0,0,0
123058,0,0,8,0,11,0,0,0,0,0
123059,0,0,0,16,0,0,0,0,0,0
123060,0,0,0,7,0,0,0,0,0,0
123061,34,34,34,34,34,34,34,34,34,34
123063,10,10,10,10,10,10,10,10,10,10
123064,0,0,0,0,0,0,0,0,0,0
123065,0,0,0,16,0,0,0,0,11,0
123066,0,0,0,0,0,0,0,0,0,0
123067,0,20,18,0,21,0,0,0,0,0
123068,0,0,10,21,0,0,0,0,0,0
123069,32,32,32,32,32,32,32,32,32,32
123070,0,0,0,0,0,0,0,0,12,0
123071,19,19,19,19,19,19,19,19,19,19
123072,25,25,25,25,25,25,25,25,25,25
123073,18,18,18,18,18,18,18,18,18,18
123074,16,16,16,16,16,16,16,16,16,16
123075,0,0,0,0,0,0,0,0,0,0
123076,11,9,0,0,0,0,0,0,5,4
123077,0,0,22,0,0,0,0,0,0,0
123078,0,0,0,0,0,0,0,0,0,0
123079,0,0,0,0,0,0,17,0,0,0
123080,0,0,15,23,0,17,0,11,0,0
123081,0,0,0,0,0,0,0,0,0,0
123082,25,0,0,18,0,9,0,0,0,0
123083,0,0,0,0,0,0,0,0,0,0
123084,0,0,0,0,0,0,0,0,0,0
123085,0,0,0,30,0,0,0,0,0,0
123086,0,12,0,0,0,0,0,0,0,0
123087,0,0,13,0,0,0,0,5,0,0
123088,19,0,0,0,0,0,0,0,0,24
123089,20,20,20,20,20,20,20,20,20,20
123090,0,0,0,0,12,0,0,12,0,0
123091,0,0,0,0,0,0,0,0,0,0
123092,0,0,0,0,0,0,0,0,0,0
123093,0,24,0,0,0,0,0,0,15,0
123094,20,20,20,20,20,20,20,20,20,20
123095,0,49,0,0,0,14,24,0,0,0
123097,0,0,0,0,9,0,0,12,25,14
123098,0,0,0,0,0,0,0,0,0,0
123099,0,0,0,0,0,0,0,24,0,0
123101,9,0,0,0,0,0,0,0,0,0
123102,2,6,10,29,15,6,22,9,0,9
123103,12,12,35,12,12,12,12,19,12,12
123104,19,28,21,4,13,11,16,22,30,19
123105,0,22,2,0,33,0,0,0,40,0
123106,0,33,14,21,23,45,28,0,0,16
123107,0,0,0,0,0,0,0,11,0,2
123108,0,0,0,0,0,0,0,0,0,0
123109,10,15,27,21,4,23,3,20,14,4
123110,19,19,19,19,19,19,19,19,19,19
123112,35,0,0,0,0,0,0,0,0,0
123113,0,0,0,0,0,0,0,0,0,0
123114,0,0,0,0,0,16,0,0,0,0
123116,19,19,19,19,19,19,19,19,19,19
123117,0,0,0,0,0,0,0,0,0,0
123119,19,19,19,19,19,19,19,19,19,19
123120,0,0,0,0,0,0,0,0,0,0
123121,0,17,16,14,0,0,0,0,18,0
123122,32,15,11,20,14,21,20,27,28,0
123124,0,0,11,0,0,0,0,26,0,17
123126,0,0,0,0,0,0,0,0,0,0
123127,18,18,18,18,18,18,18,18,18,18
123128,0,0,0,0,0,0,0,0,0,0
123129,9,9,9,9,9,9,9,9,9,9
123130,24,0,0,8,0,15,19,0,0,0
123131,12,12,12,12,12,12,12,18,12,23
123132,0,0,0,0,0,0,0,0,0,0
123133,0,0,0,0,0,10,0,0,0,0
123135,25,25,25,25,25,25,25,25,25,25
123136,0,0,0,0,0,0,0,0,0,0
123138,20,16,0,0,13,0,0,0,0,30
123139,23,23,23,23,23,23,23,23,23,23
123140,0,0,0,0,0,0,0,0,0,0
123141,0,0,0,26,0,0,0,0,0,0
123143,0,0,13,16,0,0,0,24,0,0
123144,0,0,18,11,0,10,0,0,20,0
123146,20,20,23,50,20,25,19,12,11,16
123147,0,0,0,13,0,0,0,0,20,13
123148,0,0,0,0,0,0,0,0,0,0
123149,0,15,18,13,0,15,12,11,7,29
123150,0,11,0,0,0,25,0,0,0,0
123151,0,0,0,0,0,0,0,0,0,0
123152,0,0,0,0,0,0,0,0,2,0
123154,25,25,25,25,25,25,25,25,25,25
123155,0,0,0,0,0,0,0,19,0,0
123156,25,25,25,25,25,25,25,25,25,25
123157,0,0,0,0,20,0,0,0,0,0
123158,0,0,0,0,0,0,0,0,0,0
123159,27,0,0,0,8,0,0,17,0,0
123160,0,0,0,0,0,0,0,0,0,0
123161,0,0,0,0,0,0,0,0,0,0
123162,0,0,0,0,0,0,0,0,0,0
123163,0,0,12,0,0,37,18,0,19,0
123164,0,0,0,0,0,0,0,0,0,0
123165,0,0,0,0,0,0,0,0,0,0
123166,0,0,0,0,0,0,0,0,0,0
123167,0,0,0,0,0,0,0,0,0,0
123168,14,14,14,14,14,14,14,14,14,14
123169,0,0,0,0,0,0,0,0,0,0
123170,0,0,31,0,0,0,0,0,0,0
123171,20,22,14,14,14,28,14,14,20,14
123172,0,0,24,0,0,0,14,14,0,0
123173,0,0,0,0,0,0,9,0,0,3
123174,0,0,0,0,0,0,0,0,0,0
123175,7,15,0,0,31,29,0,9,0,30
123176,0,0,0,0,0,0,0,0,0,0
123177,14,14,14,14,19,14,14,14,14,14
123178,20,20,20,20,20,20,20,20,20,20
123179,22,2,2,2,2,2,2,2,2,2
123180,0,0,0,0,0,0,0,0,34,0
123181,0,0,0,0,0,0,0,0,0,0
123182,9,12,9,9,9,19,33,9,9,9
123184,17,0,0,0,0,0,22,0,0,0
123185,0,0,0,0,0,0,0,0,0,15
123186,0,0,0,0,0,0,28,0,32,0
123187,0,39,13,42,0,0,0,0,0,0
123188,0,0,0,0,0,0,0,0,10,10
123189,7,4,0,0,0,0,0,0,0,0
123190,0,0,0,14,0,0,16,0,0,0
123191,0,26,0,0,5,0,0,0,0,0
123192,0,0,0,0,12,0,0,0,0,0
123193,22,22,22,22,22,22,22,22,22,22
123194,0,0,24,0,0,0,0,0,0,0
123195,26,17,10,27,13,11,17,17,20,12
123196,0,0,10,0,0,0,0,0,0,0
123197,20,0,20,16,0,0,6,20,22,0
123198,27,27,27,27,27,27,27,27,27,27
123199,18,0,31,9,13,22,19,0,2,6
123200,0,0,0,0,0,26,0,0,15,0
123201,0,10,0,0,0,0,7,10,0,0
130001,21,18,8,31,18,23,38,38,15,10
130002,0,0,24,15,23,0,0,0,16,0
130003,10,10,10,10,10,10,25,10,10,10
130004,0,0,0,5,16,0,9,0,0,0
130005,34,20,0,0,0,0,0,19,0,0
130006,15,17,28,17,13,11,15,10,28,28
130007,0,0,0,0,25,0,0,0,0,10
130008,13,0,0,0,0,0,0,0,0,0
130009,0,0,0,0,0,0,0,0,0,0
130010,0,17,0,0,0,3,26,0,28,0
130011,0,30,24,16,0,16,19,0,0,0
130012,0,0,0,0,0,0,0,0,33,0
130013,3,3,3,3,19,3,3,3,3,12
130014,0,0,0,0,0,0,19,0,16,0
130015,0,0,0,0,0,0,0,0,0,0
130016,10,24,2,22,20,20,24,10,0,36
130017,0,0,0,0,0,0,8,11,15,0
130018,19,18,21,17,36,8,10,25,11,11
130019,0,0,0,0,0,0,0,0,0,0
130020,18,0,0,6,0,4,7,2,14,12
130021,21,21,21,21,21,26,21,21,21,21
130022,0,0,0,0,0,0,0,0,0,0
130023,0,12,0,0,0,0,0,0,0,0
130024,0,0,0,0,0,0,0,0,0,0
130025,1,1,1,1,1,1,1,1,1,1
130026,0,18,0,0,0,18,22,0,8,0
130027,10,10,10,10,10,10,10,10,10,11
130028,16,0,0,27,0,13,0,14,0,0
130029,8,8,8,12,8,8,29,14,8,8
130030,0,0,0,11,0,0,0,9,9,0
130031,8,0,0,0,0,0,28,0,16,0
130032,0,0,0,0,0,0,0,0,0,0
130033,32,33,0,0,9,25,0,0,0,0
130034,21,0,0,0,0,0,0,0,0,0
130035,12,25,19,37,6,20,0,11,12,10
130036,0,0,0,0,0,18,17,0,0,0
130037,0,20,0,0,0,0,8,12,27,0
130038,0,0,0,0,0,0,0,0,10,0
130039,0,0,0,0,0,0,0,23,12,10
130040,0,0,0,0,0,0,0,0,0,0
130041,0,0,0,6,12,0,0,0,9,8
130042,30,0,0,14,0,0,0,11,19,0
130043,38,0,0,0,0,0,0,0,0,10
130044,9,8,0,3,0,12,0,0,0,0
130045,0,0,0,0,0,0,0,0,0,0
130046,16,6,32,14,26,15,14,23,0,12
130047,0,15,0,7,36,0,0,12,0,0
130048,6,6,6,6,6,6,6,6,6,6
130049,14,16,23,30,0,10,0,0,0,10
130050,18,21,0,0,0,0,9,8,10,14
130051,0,0,10,0,11,12,25,21,30,4
130052,0,0,0,0,0,0,0,0,0,0
130053,19,0,0,44,0,10,0,0,0,0
130054,17,16,0,12,0,26,0,0,0,0
130055,18,18,18,18,18,18,18,18,18,18
130056,16,16,16,16,16,16,16,16,16,16
130057,0,0,0,0,0,19,0,0,0,0
130058,0,0,0,0,0,0,0,0,0,0
130059,0,0,0,0,0,0,0,0,0,0
130060,7,21,12,18,25,17,12,28,26,33
130061,6,0,7,23,0,8,17,24,20,28
130062,0,7,13,0,0,18,0,0,0,0
130063,0,0,0,16,0,0,0,5,0,25
130064,0,0,52,0,0,0,0,24,0,0
130065,0,0,0,0,0,0,0,0,0,0
130066,22,15,15,46,0,17,14,0,20,18
130067,0,0,0,0,11,0,0,12,0,0
130068,0,0,0,0,0,0,0,0,0,0
130069,0,0,0,0,0,0,0,0,0,0
130070,24,24,24,24,24,24,24,24,24,24
130071,0,0,8,0,0,0,0,13,0,0
130072,28,28,28,28,28,28,28,28,28,28
130073,19,19,19,19,19,19,19,19,19,19
130074,10,10,10,10,10,10,10,10,10,10
130075,0,22,0,0,0,0,0,0,0,16
130076,0,0,0,0,0,0,0,0,0,0
130077,20,31,13,0,0,0,22,0,18,23
130078,14,14,14,14,14,14,14,14,14,14
130079,0,0,0,0,0,0,0,0,0,0
130080,15,0,0,18,0,23,15,25,18,20
130081,0,0,0,0,18,0,0,0,24,0
130082,0,0,0,19,29,0,0,0,10,0
130083,0,0,0,0,0,0,0,0,0,0
130084,3,3,3,3,3,3,3,3,3,3
130085,23,14,0,7,27,20,7,14,6,15
130086,0,0,0,28,24,18,0,28,0,0
130087,3,0,17,0,13,0,0,0,33,0
130088,0,16,0,4,5,0,0,0,2,0
130089,16,16,16,16,16,16,16,16,16,16
130090,16,16,16,16,16,16,16,16,16,16
130091,24,24,24,24,24,24,24,24,24,24
130092,24,24,24,24,24,24,24,24,24,24
130093,0,0,0,0,0,0,0,0,0,0
130094,14,14,14,14,14,14,14,14,14,14
130095,17,17,17,17,17,17,17,17,17,17
130096,0,0,0,0,17,0,17,20,0,27
130097,0,0,0,0,0,0,0,0,0,0
130098,13,13,13,13,13,13,13,13,13,13
130099,30,30,30,30,30,30,30,30,30,30
130100,1,1,9,1,1,1,1,11,1,16
130101,28,0,0,26,0,0,0,0,17,0
130102,0,0,0,0,0,0,0,0,0,0
130103,0,0,0,0,0,0,0,0,0,0
130104,0,0,0,0,0,0,0,0,0,0
130105,0,0,0,0,0,9,0,0,0,0
130106,4,10,4,10,14,12,4,4,4,8
130107,8,8,35,14,8,8,14,8,8,32
130108,0,0,0,0,0,0,0,0,0,0
130109,12,4,4,4,6,6,4,18,13,5
130110,0,0,0,0,0,0,0,0,9,0
130111,0,0,0,0,0,0,0,0,0,0
130112,0,0,0,0,0,0,0,0,0,0
130113,0,0,0,0,6,0,0,0,0,0
130114,0,0,0,0,0,0,0,0,0,28
130115,0,0,0,0,0,0,0,0,0,0
130116,0,5,0,0,0,0,0,0,16,0
130117,13,20,13,13,13,13,13,13,13,15
130118,0,0,0,0,0,0,0,0,0,0
130119,0,0,0,0,0,0,0,0,0,0
130120,0,0,0,0,0,0,0,0,0,0
130121,0,0,0,0,0,0,0,0,0,0
130122,9,19,0,15,10,4,33,18,13,0
130123,0,17,0,0,0,0,0,6,6,12
130124,0,0,0,10,16,25,0,23,0,0
130125,12,12,12,12,12,12,12,12,12,12
130126,0,20,0,0,0,0,0,0,0,0
130127,10,29,13,12,15,0,39,25,34,37
130128,0,0,15,0,0,0,0,0,0,0
130129,0,0,0,0,0,0,0,0,0,0
130130,13,13,13,13,13,13,13,13,13,13
130131,21,21,14,0,22,0,0,21,18,0
130132,0,0,11,12,12,23,0,0,26,0
130133,25,29,25,0,21,16,18,20,11,13
130134,0,0,0,0,0,0,14,0,0,0
130135,0,0,0,0,0,0,0,19,0,0
130136,0,0,0,0,0,0,0,0,0,0
130137,0,0,8,0,0,0,0,0,22,0
130138,22,28,13,0,25,27,0,34,0,8
130139,31,0,0,0,0,0,0,2,26,47
130140,0,0,8,25,30,13,0,29,0,0
130141,20,0,0,8,0,27,0,20,10,23
130142,0,0,0,0,0,0,0,0,0,0
130143,0,0,0,0,0,0,0,0,0,0
130144,0,0,25,0,0,10,16,12,12,0
130145,0,16,0,0,0,0,0,16,13,13
130146,0,0,0,0,0,0,0,0,0,0
130147,0,0,0,0,0,0,0,0,0,0
130148,0,0,0,0,0,0,0,0,0,0
130149,0,0,0,0,0,0,0,11,0,0
130150,0,0,0,0,0,0,0,0,0,0
130151,0,0,0,0,0,0,0,0,0,0
130152,14,0,0,10,5,0,46,31,0,0
130153,0,0,0,0,0,0,0,0,0,0
130154,0,0,0,0,0,19,0,0,0,0
130155,0,0,0,0,0,0,0,0,0,0
130156,0,0,0,0,0,11,6,0,0,0
130157,0,0,0,0,0,0,0,0,0,0
130158,0,0,0,0,0,0,0,0,0,0
130159,15,15,15,15,15,15,15,15,15,15
130160,15,0,5,0,0,32,18,15,20,26
130161,6,6,6,6,6,6,6,6,6,6
130162,13,11,5,0,8,0,0,10,14,17
130163,0,0,25,0,0,0,13,0,0,0
130164,0,0,0,0,0,10,0,0,0,0
130165,0,0,0,0,0,0,0,0,0,0
130166,16,0,0,17,0,0,18,0,0,0
130167,0,30,0,0,19,26,0,10,0,18
130168,13,15,10,0,31,0,8,3,10,0
130169,0,0,0,0,0,0,0,0,0,0
130170,0,0,0,0,0,0,0,0,0,0
130171,22,22,22,22,22,22,22,22,22,22
130172,10,10,10,10,10,10,10,10,10,10
130173,0,0,0,0,0,0,13,0,5,3
130174,0,0,0,20,0,21,0,0,0,0
130175,0,0,0,0,0,0,0,0,0,0
130176,0,0,0,0,0,0,0,0,0,0
130177,25,0,22,0,0,0,0,18,19,0
130178,0,0,0,0,0,0,0,0,0,0
130179,0,27,14,0,15,15,16,22,16,0
130180,0,0,0,6,0,0,0,0,4,0
130181,11,0,5,15,0,0,0,0,14,0
130182,35,35,35,35,35,35,35,35,35,35
130183,0,0,0,0,0,0,0,0,43,0
130184,29,29,29,29,29,29,29,29,29,29
130185,0,0,0,0,0,17,0,0,0,0
130186,0,0,0,0,0,0,0,0,0,0
130187,15,0,0,18,0,0,0,0,19,0
130188,22,22,22,22,22,22,22,22,22,22
130189,18,18,18,18,18,18,18,18,18,18
130190,0,0,0,0,0,0,0,0,0,0
130191,19,0,0,0,0,0,0,0,0,0
130192,0,10,0,7,0,0,0,0,0,18
130193,23,23,23,23,23,23,23,23,23,23
130194,0,0,0,18,0,0,0,0,0,0
130195,0,0,0,0,0,0,0,0,0,0
130196,0,0,0,0,0,0,0,0,0,0
130197,0,0,0,0,14,0,0,0,0,0
130198,0,0,0,0,0,0,0,0,0,0
130199,0,0,0,11,0,22,15,0,0,0
130200,0,0,0,0,0,0,0,0,0,0
130201,0,0,12,6,19,15,0,0,0,0
130202,0,0,0,0,25,0,0,0,0,0
130203,0,19,30,0,18,0,12,0,21,0
130204,18,18,18,18,18,18,18,18,18,18
130205,0,0,18,18,0,19,0,0,0,0
130206,0,0,0,0,0,0,0,0,0,0
130207,0,0,0,0,0,0,1,0,0,0
130208,22,22,22,22,22,22,22,22,22,22
130209,0,0,0,0,0,0,0,0,0,0
130210,0,0,0,0,0,0,0,0,39,0
130211,0,0,0,0,0,0,0,0,0,0
130212,0,0,0,0,0,0,0,0,0,0
130213,0,0,0,0,0,0,0,0,0,0
130214,0,0,4,10,22,20,9,0,0,0
130215,10,10,10,10,10,20,16,10,10,29
130216,0,0,0,0,0,0,0,0,0,0
130217,39,39,39,39,39,39,39,39,39,39
130218,0,0,0,0,0,0,0,0,0,0
130219,0,12,21,0,30,18,11,14,13,24
130220,17,17,17,17,17,17,17,17,17,17
130221,23,23,23,23,23,23,23,23,23,23
130222,6,37,14,37,0,22,0,0,0,0
130223,15,10,34,22,25,13,16,22,0,13
130224,0,0,0,0,15,0,0,0,30,0
130225,0,0,0,0,0,0,0,0,0,0
130226,0,0,0,0,0,0,0,0,0,0
130227,1,1,1,1,1,1,1,1,1,1
130228,0,32,0,0,0,0,0,0,0,0
130229,0,5,4,0,0,1,16,16,0,0
130230,0,0,0,0,0,0,0,0,0,0
130231,0,0,20,12,0,0,0,0,0,0
130232,5,5,5,5,5,5,5,5,5,5
130233,0,0,0,0,0,0,0,0,0,0
130234,0,0,0,0,0,0,0,0,0,0
130235,0,18,0,0,0,9,0,0,0,0
130236,0,0,0,0,0,6,0,15,0,0
130237,0,0,0,0,0,0,0,0,0,0
130238,0,12,0,0,0,0,0,0,0,0
130239,8,0,0,0,0,0,0,0,0,0
130240,14,14,14,14,14,14,14,14,14,14
130241,0,6,0,21,9,22,3,8,0,0
130242,14,14,14,14,14,14,14,14,14,14
130243,11,11,11,11,11,11,11,11,11,11
130244,0,13,14,0,23,0,0,0,0,0
130245,11,11,11,11,11,11,11,11,11,11
130246,32,32,32,32,32,32,32,32,32,32
130247,22,12,13,11,12,22,5,29,0,16
130248,25,0,0,13,8,16,8,0,10,28
130249,0,0,0,0,0,0,4,0,0,0
130250,0,0,0,0,11,0,0,0,0,0
130251,0,0,0,0,0,0,0,0,0,0
130252,0,0,0,0,0,0,0,0,0,0
130253,14,23,0,25,0,16,0,0,0,0
130254,15,20,0,20,0,0,9,0,16,20
130255,0,0,0,0,7,21,0,0,0,20
130256,1,1,1,1,3,1,1,1,1,1
130257,0,0,0,0,0,0,0,0,0,0
130258,0,0,0,0,0,0,0,0,0,0
130259,0,0,0,0,0,0,0,0,0,0
130260,28,19,19,19,29,19,19,19,19,19
130261,0,0,0,0,0,0,0,0,0,0
130262,0,0,0,0,0,0,0,0,0,0
130263,0,0,0,0,0,0,0,0,0,0
130264,0,0,0,0,0,0,0,0,0,0
130265,0,0,0,0,0,0,0,0,0,0
130266,18,0,0,0,0,0,9,0,0,0
130267,0,0,0,0,0,9,0,0,23,15
130268,0,0,0,0,0,0,0,0,0,0
130269,25,25,25,25,25,25,25,25,25,25
130270,13,25,16,22,32,9,7,28,12,23
130271,0,0,0,0,0,0,0,0,0,0
130272,18,18,18,18,18,18,18,18,18,18
130273,6,6,6,6,6,6,6,6,6,6
130274,0,0,0,0,0,0,0,0,0,0
130275,14,14,15,6,30,6,22,8,21,15
130276,0,0,0,0,0,0,0,0,0,9
130277,0,0,0,0,0,0,0,0,0,0
130278,0,12,17,0,0,0,0,16,13,0
130279,0,0,0,4,0,0,0,0,12,0
130280,0,0,0,0,0,0,0,0,0,0
130281,0,0,0,0,0,0,0,0,19,24
130282,0,0,0,0,0,0,0,0,0,0
130283,0,0,0,27,0,0,0,0,0,18
130284,5,0,0,0,0,0,0,0,0,8
130285,0,0,0,0,0,0,0,0,0,0
130286,0,6,0,0,0,0,0,25,0,0
130287,0,28,0,0,0,0,0,0,0,0
130288,0,0,0,0,0,0,0,0,0,0
130289,0,0,0,0,0,0,22,0,0,14
130290,0,0,0,0,0,0,0,0,0,0
130291,3,3,3,3,3,3,3,3,3,3
130292,3,3,3,3,3,3,3,3,3,3
130293,0,0,0,16,21,0,0,0,34,0
130294,20,15,0,10,0,0,0,12,0,12
130295,15,15,15,15,15,15,18,15,15,15
130296,0,0,0,0,0,0,0,0,0,0
130297,0,16,0,0,0,0,0,0,0,0
130298,0,0,0,0,0,0,0,0,0,0
130299,28,28,28,28,28,28,28,28,28,28
130300,0,0,0,0,0,0,0,0,0,0
130301,0,0,0,0,0,0,0,0,0,0
130302,0,0,0,0,0,0,30,0,23,0
130303,8,10,0,18,26,0,29,0,10,0
130304,0,0,0,0,0,0,0,0,0,0
130305,0,0,0,0,0,0,0,0,0,0
130306,0,0,0,0,0,0,35,29,8,14
130307,9,9,9,9,9,9,9,9,9,9
130308,0,8,0,0,0,6,0,0,0,0
130309,0,0,0,0,0,0,0,17,12,0
130310,0,0,0,5,0,0,0,0,0,0
130311,0,0,21,0,24,0,0,22,0,11
130312,0,0,0,0,9,34,0,11,0,17
130313,0,0,0,0,0,0,0,0,0,0
130314,0,0,29,24,0,0,0,0,46,0
130315,0,0,0,7,7,0,28,18,0,0
130316,15,0,0,0,0,0,0,0,0,36
130317,0,0,19,0,0,0,7,0,0,0
130318,0,0,0,0,0,0,0,14,14,0
130319,0,0,0,0,0,0,0,0,0,0
130320,19,19,19,19,19,19,19,19,19,19
130322,12,12,12,12,12,12,12,12,12,12
130323,0,0,0,0,0,0,0,0,0,0
130324,0,0,0,0,0,0,0,0,0,0
130325,0,14,3,0,0,0,6,0,0,0
130326,11,11,11,11,11,11,11,11,11,11
130327,9,9,9,9,9,9,9,9,9,9
130328,22,22,22,22,22,22,22,22,22,22
130329,0,0,0,0,0,0,0,0,0,0
130330,16,16,16,16,16,16,16,16,16,16
130331,2,2,2,2,2,2,2,2,2,2
130332,20,20,20,20,20,20,20,20,20,20
130333,3,3,3,3,3,3,3,3,3,3
130334,0,0,0,0,0,0,0,0,0,0
130335,19,19,19,19,19,19,19,19,19,19
130336,2,2,2,2,2,2,2,2,2,2
130337,8,16,8,8,13,8,8,8,8,14
130338,18,0,0,14,13,0,9,0,0,0
130339,0,0,13,12,17,4,18,0,38,23
130340,0,14,0,22,0,0,25,0,0,0
130341,0,0,0,0,0,0,0,0,0,0
130342,24,24,24,24,24,24,24,24,24,24
130343,0,0,10,0,0,0,0,0,0,0
130344,0,0,0,0,0,0,0,0,0,0
130345,0,0,0,0,0,0,0,0,0,0
130346,0,0,0,0,0,0,0,0,0,0
130347,0,0,0,0,0,0,0,0,0,0
130348,0,0,0,0,0,0,0,0,0,0
130349,0,0,0,0,0,0,0,0,0,0
130350,0,0,0,0,0,0,0,0,0,0
130351,0,0,15,0,0,0,0,0,0,0
130352,0,0,0,0,0,0,0,0,0,0
130353,0,0,0,0,0,0,0,0,0,0
130354,0,0,0,0,0,0,0,0,0,0
130355,0,0,0,0,0,0,0,0,0,0
130356,7,0,0,0,0,21,0,0,0,0
130357,21,0,26,0,0,9,0,0,0,6
130358,14,32,29,11,0,34,0,26,0,24
130359,0,0,0,0,29,0,0,0,0,0
130360,0,0,0,0,0,0,0,11,0,0
130361,12,11,8,19,2,0,38,0,16,20
130362,0,0,0,5,0,0,0,5,0,0
130363,18,18,34,12,4,39,8,19,14,10
130364,0,0,0,0,0,0,0,0,0,0
130365,0,0,0,0,0,0,0,0,0,0
130366,35,35,35,35,35,35,35,35,35,35
130367,0,0,0,0,0,0,0,0,0,0
130368,0,0,0,0,0,0,0,0,0,0
130369,10,10,10,10,10,10,10,10,10,10
130370,21,0,0,0,0,0,0,0,0,0
130371,0,0,0,0,0,0,0,0,0,0
130372,0,0,0,0,0,0,0,0,0,0
130373,0,0,0,0,0,0,0,12,0,0
130374,0,0,0,0,0,0,0,0,0,0
130375,0,0,24,0,0,0,0,0,0,0
130377,0,0,0,0,0,0,0,0,0,0
130378,8,0,0,0,0,0,0,0,0,0
130379,40,40,40,40,40,40,40,40,40,40
130380,3,11,0,0,0,28,17,38,0,0
130381,0,0,0,0,0,0,0,0,0,0
130382,0,0,0,0,0,0,0,0,0,0
130383,22,0,0,17,29,0,0,0,0,0
130384,7,8,0,0,0,0,15,0,0,11
130385,18,12,15,21,26,34,10,0,0,12
130386,12,12,12,12,12,12,12,12,12,12
130387,0,0,0,0,0,0,0,0,0,0
130388,0,0,0,0,0,0,0,0,0,0
130389,22,0,0,6,19,17,4,20,0,0
130390,15,15,15,15,15,15,15,15,15,15
130391,0,0,0,0,26,0,0,0,0,0
130392,0,0,0,0,0,0,0,0,0,0
130393,0,0,0,0,0,0,0,0,0,0
130394,0,0,0,0,0,0,16,0,0,0
130395,0,0,0,0,0,0,0,30,0,0
130396,0,0,0,0,0,0,0,0,0,0
130397,0,0,0,0,0,0,0,0,0,0
130398,17,0,29,0,0,0,22,16,0,0
130399,31,7,0,0,0,0,17,0,0,0
130400,0,0,0,0,0,0,0,0,0,0
130401,0,0,0,0,0,0,0,0,0,0
130402,0,0,0,0,0,0,0,0,0,0
130403,0,0,0,20,9,0,0,13,0,0
130404,6,6,9,16,12,6,6,13,6,6
130405,0,0,0,0,0,0,0,0,0,0
130406,21,0,0,28,11,0,0,0,0,0
130407,16,16,16,16,16,16,16,16,16,16
130408,0,0,0,0,0,0,0,0,0,0
130409,0,0,9,0,18,0,0,0,0,0
130410,23,23,23,23,23,23,23,23,23,23
130411,0,0,0,0,0,0,0,0,0,0
130412,14,0,7,0,0,16,2,0,0,11
130413,0,0,0,0,0,0,0,0,0,17
130414,0,0,0,3,4,16,6,15,22,19
130415,0,0,0,0,0,0,0,0,0,0
130416,0,0,0,0,0,0,0,0,0,0
130417,18,18,18,18,18,18,18,18,18,18
130418,0,0,0,0,0,0,0,0,0,0
130419,3,3,3,3,3,3,3,3,3,3
130420,0,0,9,8,0,19,0,24,0,0
130421,0,0,0,0,0,0,0,0,0,0
130422,0,0,0,0,0,0,0,0,0,0
130423,0,0,0,0,0,0,0,0,0,0
130424,0,0,0,0,0,0,0,0,16,0
130425,0,0,0,0,0,0,0,0,0,0
130426,16,16,16,16,16,16,16,16,16,16
130427,0,0,0,0,0,0,34,0,0,0
130428,0,0,0,0,0,0,0,0,0,0
130429,21,20,0,14,13,0,15,0,0,11
130430,0,0,0,0,0,0,0,0,8,13
130431,0,0,0,0,0,0,0,0,0,0
130432,0,0,0,0,0,0,0,0,0,0
130433,16,16,16,16,16,16,16,16,16,16
130434,0,0,0,0,0,0,0,0,0,0
130435,14,33,0,0,34,19,0,25,0,0
130436,0,0,0,0,0,0,0,3,0,16
130437,0,0,0,0,0,0,26,0,0,0
130438,0,0,0,0,0,0,0,0,0,0
130439,0,0,0,0,0,0,0,0,0,0
130440,0,0,0,18,0,0,0,0,0,0
130442,0,12,21,15,10,16,16,14,0,11
130443,0,0,0,0,0,0,0,0,0,0
130444,0,0,0,0,0,0,0,0,0,0
130445,12,11,0,0,0,0,0,0,19,0
130446,0,0,0,0,0,0,0,0,0,0
130447,0,0,0,0,0,0,0,0,0,0
130448,8,24,14,16,6,3,0,3,19,20
130449,0,0,0,0,0,0,0,0,0,0
130450,0,0,5,0,0,14,0,0,0,0
130451,26,26,26,26,26,26,26,26,26,26
130452,2,2,2,2,2,2,2,2,2,2
130453,0,0,24,18,16,0,19,0,0,12
130454,0,0,0,15,0,0,0,0,15,28
130455,0,19,16,0,0,0,0,0,0,0
130456,0,0,0,0,0,0,0,0,0,0
130457,0,0,8,0,5,0,0,0,0,0
130458,0,0,0,0,0,0,0,0,0,13
130459,0,0,0,0,0,0,0,0,21,0
